date,action,price,quantity,cash,position
2017-09-07 00:00:00,buy,808.93,12,-9414.32,24
2017-10-05 00:00:00,sell,816.26,24,29766.159999999996,-24
2017-10-13 00:00:00,buy,869.56,34,-29363.92,44
2017-11-17 00:00:00,sell,904.38,44,50221.520000000004,-44
2017-11-27 00:00:00,buy,943.06,53,-49742.84,62
2017-12-13 00:00:00,sell,906.16,62,62621.0,-62
2017-12-15 00:00:00,buy,912.35,68,-61458.600000000006,74
2017-12-22 00:00:00,sell,911.26,74,73407.88,-74
2018-01-10 00:00:00,buy,932.66,78,-72087.07999999999,82
2018-02-08 00:00:00,sell,897.69,82,75134.08000000002,-82
2018-02-28 00:00:00,buy,942.07,79,-73712.97999999998,76
2018-03-06 00:00:00,sell,900.17,76,63112.860000000015,-76
2018-03-12 00:00:00,buy,922.31,68,-62321.299999999974,60
2018-03-15 00:00:00,sell,902.45,60,45972.700000000026,-60
2018-04-13 00:00:00,buy,931.02,49,-45267.259999999966,38
2018-05-23 00:00:00,sell,905.22,38,23529.460000000036,-38
2018-06-12 00:00:00,buy,990.51,23,-22033.999999999964,8
2018-07-09 00:00:00,sell,986.65,8,-6247.599999999963,-8
